name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
消费TOPETF,517760,0.967,10010,9979,跨境，香港，消费,0.60%,浦银安盛基金,2022-04-19,SHS消费龙头人民币指数,325.58,9719,9565,10000,10000,10000,0.52
交通运输ETF,159666,1.006,9970,9960,主题，运输,0.60%,华夏基金,2023-02-13,运输指数,331.05,9882,10000,10000,10000,10000,9.09
工银中证500ETF,510530,6.595,10038,9992,宽基，中小盘,0.52%,工银瑞信基金,2020-01-03,中证500指数,200.0,10335,10977,10799,12831,10000,2.77
浦银创业板ETF,159810,0.959,10105,9990,宽基，中小盘,0.20%,浦银安盛基金,2020-07-10,创业板指,244.79,10323,10345,9876,10000,10000,0.607
景顺MSCIA股ETF,512280,1.507,10047,9993,MSCI,0.60%,景顺长城基金,2018-05-25,MSCI中国A股国际通指数,223.71,10134,10415,10101,14325,10000,0.839
深证成指ETF,159943,1.206,10075,10008,宽基，综合,0.60%,大成基金,2015-07-08,深证成指,229.51,10281,10701,10352,12874,12667,0.971
浦银MSCI中国ETF,515780,1.376,10022,9971,MSCI,0.20%,浦银安盛基金,2020-05-29,MSCI中国A股人民币指数,166.22,10088,10393,10066,10000,10000,0.793
MSCIESGETF,159621,1.003,10020,9980,主题，ESG,0.60%,国泰基金,2022-09-09,MSCI中国A股人民币指数,229.15,10162,10448,10000,10000,10000,1.41
化工产业ETF,516690,0.73,10069,10000,行业，化工,0.60%,银华基金,2021-12-21,细分化工指数,223.96,9656,9973,8946,10000,10000,0.568
物联网50ETF,516260,0.83,10085,9976,主题，物联网,0.60%,华夏基金,2021-08-02,CS物联网指数,169.94,11067,12117,11608,10000,10000,1.05
智能电动车ETF,516380,0.827,10210,9976,主题，智能汽车,0.60%,华宝基金,2021-06-18,智能电车指数,173.71,10325,10049,9561,10000,10000,1.32
医药创新ETF,560600,0.825,9988,10000,行业，医药,0.60%,方正富邦基金,2022-03-15,CS医药创新指数,172.27,9916,9649,8160,10000,10000,0.083
深创100ETF,159716,0.774,10065,9987,主题，新兴产业，科技,0.60%,华宝基金,2021-06-28,深创100指数,190.21,10334,10705,10320,10000,10000,1.28
漂亮50ETF,561500,0.809,10050,10025,主题，ESG,0.60%,华泰柏瑞基金,2021-06-28,企业核心竞争力50指数,153.73,10493,11082,11022,10000,10000,0.966
消费电子龙头ETF,159769,0.854,10179,9977,主题，消费电子,0.60%,银华基金,2022-03-03,消费电子指数,194.49,11619,11961,11120,10000,10000,0.389
长江保护主题ETF,517160,0.786,10116,9975,主题，环保,0.20%,南方基金,2022-01-05,长江保护指数,218.53,10195,10508,9680,10000,10000,16.77
工业互联ETF,159778,0.926,10131,9989,主题，工业4.0，工业互联网,0.60%,鹏华基金,2022-02-17,工业互联指数,197.37,11063,12152,11546,10000,10000,0.507
上海金基金ETF,159833,4.382,10032,9989,商品，黄金,0.60%,大成基金,2022-03-29,上海金,221.76,10654,10925,11038,10000,10000,0.541
绿色能源ETF,562010,0.96,10137,9990,主题，环保，新兴产业,0.60%,华宝基金,2023-01-03,绿色能源指数,200.95,9856,10000,10000,10000,10000,4.33
沪深300ETF南方,159925,2.008,10055,9980,宽基，大盘股,0.60%,南方基金,2013-04-11,沪深300指数,147.32,10219,10541,10055,12060,12395,16.61
国联安沪深300ETF,515660,4.633,10000,9966,宽基，大盘股,0.35%,国联安基金,2019-12-24,沪深300指数,59.32,10165,10534,10041,12342,10000,21.19
方正中证500ETF,510550,1.572,10006,9943,宽基，中小盘,0.60%,方正富邦基金,2019-01-16,中证500指数,70.3,10342,10871,10658,12801,10000,0.228
产业升级ETF,510160,0.77,10105,9974,主题，产业升级,0.60%,南方基金,2010-11-01,小康指数,55.87,10308,11192,10591,14474,13485,2.5
上证50ETF基金,510680,2.623,10034,9989,宽基，大盘股,0.60%,万家基金,2013-12-02,上证50指数,89.16,10038,10100,9493,11219,11419,0.322
中创400ETF,159918,2.017,10080,10005,宽基，中小盘,0.60%,嘉实基金,2012-05-11,中创400指数,73.4,10605,11395,11131,13021,11652,0.593
深100ETF银华,159969,1.305,10046,10008,宽基，大盘股,0.30%,银华基金,2019-08-28,深证100指数,56.97,10140,10374,9812,11831,10000,0.313
A50ETF,512150,1.506,10020,9960,宽基，大盘股,0.60%,汇安基金,2019-01-21,富时中国A50指数,62.74,9960,10013,9611,12324,10000,0.663
100ETF,159627,1.08,10065,9982,宽基，大盘股,0.60%,华夏基金,2022-11-30,中证100指数,88.12,10227,10537,10000,10000,10000,5.02
标普ETF,159655,1.023,10039,9903,跨境，美国,0.75%,华夏基金,2022-10-25,标准普尔500指数,72.38,10407,10601,10000,10000,10000,0.214
创业板ETF富国,159971,1.643,10080,9970,宽基，中小盘,0.40%,富国基金,2019-07-02,创业板R指数,73.1,10301,10282,9856,12494,10000,0.128
国企ETF,510270,1.27,10095,10016,主题，国企,0.60%,中银基金,2011-08-18,上证国企指数,121.02,10120,10522,9930,12282,11630,0.203
上证50ETF华安,510190,3.576,10036,10003,宽基，大盘股,0.20%,华安基金,2011-01-10,上证龙头指数,133.79,10062,10273,9691,11137,9989,0.578
科技创新ETF,159987,1.587,10134,9987,主题，新兴产业，科技,0.38%,银华基金,2019-11-18,创新100指数,145.75,10960,11704,11458,14375,10000,0.549
500等权ETF,515590,1.545,10065,9987,宽基，中小盘,0.20%,前海开源基金,2020-01-20,500等权指数,114.09,10383,11115,11004,15237,10000,0.336
创中盘88ETF,159804,1.338,10106,9978,策略，成长,0.40%,国寿安保基金,2020-03-31,创精选88指数,53.97,11067,12366,12423,13681,10000,1.15
浙江100ETF,159815,0.985,10082,9990,主题，区域，浙江,0.40%,招商基金,2020-08-18,浙江100指数,146.1,10358,10649,10314,10000,10000,0.315
浙江国资ETF,515760,1.13,10009,10000,主题，区域，浙江,0.50%,华夏基金,2020-10-12,浙江国资指数,116.94,10581,10845,10711,10000,10000,2.14
沪港深ETF,517170,0.79,10000,9950,宽基，大盘股,0.60%,华夏基金,2021-04-20,沪港深500人民币指数,76.04,10194,10273,9987,10000,10000,0.239
证券ETF先锋,516980,0.92,9850,10011,策略，动量，成长，证券,0.60%,华富基金,2021-06-24,证券先锋指数,65.34,10431,10824,9634,10000,10000,0.252
创300ETF,159836,0.89,10102,9989,宽基，中小盘,0.60%,天弘基金,2021-05-25,创业300指数,107.47,10458,10894,10545,10000,10000,0.586
智能电车ETF,159710,0.685,10209,9971,主题，智能汽车,0.60%,建信基金,2021-08-09,智能电车指数,92.56,10285,10000,9396,10000,10000,0.489
沪港深科技TOPETF,517270,0.825,10086,9976,主题，新兴产业，科技,0.60%,浦银安盛基金,2022-01-12,SHS科技龙头指数,96.71,10700,10813,10700,10000,10000,0.245
新材料ETF平安,516890,0.733,10138,9986,主题，新兴产业，新材料,0.60%,平安基金,2021-07-28,新材料指数,145.62,9932,10096,9278,10000,10000,0.441
新材料ETF基金,159763,0.688,10133,9971,主题，新兴产业，新材料,0.60%,建信基金,2021-09-13,新材料指数,73.84,9899,10147,8958,10000,10000,0.904
物联网ETF工银,159709,0.878,10069,9989,行业，TMT，物联网,0.52%,工银瑞信基金,2021-07-02,物联网50指数,63.96,11030,12525,11801,10000,10000,1.01
智能网联汽车ETF,159872,0.937,10054,9989,主题，车联网,0.60%,鹏华基金,2021-07-01,CS车联网指数,84.78,10733,11967,11742,10000,10000,0.511
深创龙头ETF,159721,0.764,10079,9987,主题，新兴产业，科技,0.20%,永赢基金,2021-06-25,深创100指数,137.47,10352,10745,10352,10000,10000,0.692
300ESGETF,159791,0.934,10021,9989,主题，ESG,0.60%,华夏基金,2022-03-08,300ESG指数,95.88,10197,10554,9863,10000,10000,0.169
双创50增强ETF,588320,0.998,10132,10000,宽基，中小盘,0.55%,广发基金,2023-01-06,科创创业50指数,57.5,10246,10000,10000,10000,10000,2.37
G60创新ETF,510770,0.776,10039,10026,主题，区域,0.60%,申万菱信基金,2021-09-28,G60成指,79.77,10104,10472,10778,10000,10000,0.226
银行ETF优选,517900,0.958,10021,9969,行业，金融，银行,0.60%,招商基金,2022-03-25,银行AH人民币指数,56.38,10116,9886,9021,10000,10000,0.427
500成长ETF,159620,1.002,10121,9990,策略，成长，价值,0.60%,华夏基金,2022-08-05,500成长创新指数,84.51,10193,10809,10000,10000,10000,0.325
非周期ETF,510120,3.749,10021,9973,行业，非周期,0.60%,海富通基金,2011-06-08,非周期指数,2.24,10121,10567,10402,12369,12852,0.149
战略新兴ETF,512770,1.579,10045,9975,主题，新兴产业,0.60%,华夏基金,2018-08-16,新兴成指,39.3,10174,10148,9033,12453,10000,2.89
国寿300ETF,510380,1.122,10081,10000,宽基，大盘股,0.60%,国寿安保基金,2018-02-07,沪深300指数,0.9691,10303,10655,9982,11663,11712,10.93
方正沪深300ETF,515360,5.201,9977,9924,宽基，大盘股,0.60%,方正富邦基金,2019-11-01,沪深300指数,11.07,10136,10458,10027,13716,10000,1.53
300指数ETF,510370,0.864,10000,9988,宽基，大盘股,0.60%,兴业基金,2020-10-27,沪深300指数,16.54,10141,10473,10000,10000,10000,0.399
平安MSCI国际ETF,512360,1.543,10019,9936,MSCI,0.60%,平安基金,2018-07-20,MSCI中国A股国际指数,4.0,10145,10391,10033,13939,10000,0.853
